level,table_name,column_name,tag_name,tag_value
COLUMN,silver_gl_transactions,amount,classification,confidential
COLUMN,silver_gl_transactions,amount,sensitivity,internal
COLUMN,silver_investors,city,pii_level,medium
COLUMN,silver_investors,investor_name,masking_policy,full_name_mask
COLUMN,silver_investors,investor_name,pii_level,high
TABLE,gold_fund_performance,,consumer_tier,gold
TABLE,gold_fund_performance,,domain,finance
TABLE,gold_gl_monthly_summary,,consumer_tier,gold
TABLE,gold_gl_monthly_summary,,domain,finance
TABLE,gold_gl_monthly_summary,,sla_minutes,60
TABLE,gold_property_financials,,consumer_tier,gold
TABLE,gold_property_financials,,domain,finance
TABLE,silver_gl_transactions,,domain,finance
TABLE,silver_gl_transactions,,regulatory,sox
TABLE,silver_gl_transactions,,retention,7_years
TABLE,silver_investors,,domain,finance
TABLE,silver_investors,,owner_team,platform
TABLE,silver_investors,,pii_level,high
