col_name,data_type,comment
target,string,"Target engine (""dbsql"" or ""lakebase"") that executed the query"
concurrency,int,Number of concurrent client threads in the run
query_name,string,"Canonical benchmark query name (fund_performance_arena, gl_monthly_by_arena_year, ...)"
p50_ms,double,Median latency across samples
p95_ms,double,95th percentile latency across samples
p99_ms,double,99th percentile latency across samples
mean_ms,double,Arithmetic mean of latency across samples
throughput_qps,double,Completed queries per second at this concurrency level
error_rate,double,Fraction of queries returning an error (0.0 - 1.0)
,,
# Detailed Table Information,,
Catalog,juniper_square_demo_catalog,
Database,pipeline,
Table,benchmark_summary,
Type,MANAGED,
Location,s3://fevm-us-east-1-managed/juniper-benchmark-summary/,
Provider,delta,
Table Properties,"[delta.enableChangeDataFeed=false,delta.minReaderVersion=3]",
Owner,fabien.vaucheret@juniper-square-demo.com,
Created Time,2026-04-16 18:04:22,
Last Access,UNKNOWN,
Created By,Spark 3.5.2,
Statistics,2048 bytes,
